j,v1,v2,v3,time
0,0.0619867,0.0589654,1.97295,0.00198364
2,0.0579583,0.0579583,1.91398,0.00405884
4,0.0559945,0.0559945,1.85995,0.00588989
6,0.0529732,0.0539803,1.80995,0.00772095
8,0.0529732,0.0519661,1.76,0.00952149
10,0.050959,0.0499519,1.71196,0.0113831
12,0.0489952,0.0499519,1.66795,0.0132752
14,0.0489952,0.0489952,1.62198,0.0151062
16,0.0459739,0.0439597,1.57595,0.0169373
18,0.0459739,0.0459739,1.53496,0.0187988
20,0.0449668,0.0449668,1.49297,0.0205994
22,0.0439597,0.0429526,1.45399,0.0224304
24,0.0429526,0.0429526,1.41497,0.0242615
26,0.0409888,0.0419959,1.37796,0.026062
28,0.0389746,0.0399817,1.34296,0.0278931
30,0.0379675,0.0389746,1.30696,0.0296936
32,0.0379675,0.0379675,1.27297,0.0314941
34,0.0369604,0.0359533,1.23999,0.0333557
36,0.0359533,0.0359533,1.20796,0.0351868
38,0.0359533,0.0339894,1.17598,0.0369873
40,0.0339894,0.0349965,1.14597,0.0387878
42,0.0329823,0.0339894,1.11596,0.0406189
44,0.0309682,0.0329823,1.08696,0.0424194
46,0.0329823,0.0299611,1.05997,0.0442505
48,0.0309682,0.0309682,1.03398,0.046051
50,0.0299611,0.028954,1.00699,0.0478821
52,0.0299611,0.0299611,0.97799,0.0496826
54,0.0279972,0.0279972,0.953971,0.0515137
56,0.0279972,0.0279972,0.928995,0.0533142
58,0.0279972,0.0269901,0.904975,0.0551453
60,0.025983,0.0269901,0.88297,0.0569458
62,0.024976,0.024976,0.860966,0.0587769
64,0.024976,0.024976,0.837953,0.0605774
66,0.0239689,0.024976,0.817962,0.0624084
68,0.0239689,0.0229618,0.796964,0.0642395
70,0.0219547,0.0229618,0.776974,0.06604
72,0.0229618,0.0219547,0.75799,0.0678711
74,0.0229618,0.0209979,0.736992,0.0696716
76,0.0209979,0.0209979,0.718965,0.0715027
78,0.0219547,0.0209979,0.701995,0.0733032
80,0.0209979,0.0199908,0.684976,0.0751343
82,0.0199908,0.0189837,0.666999,0.0769348
84,0.0199908,0.0209979,0.648972,0.0787659
86,0.0179766,0.0189837,0.632959,0.0805664
88,0.0169695,0.0179766,0.611961,0.0823975
90,0.0169695,0.0169695,0.601991,0.084198
92,0.0169695,0.0149554,0.587992,0.0859985
94,0.0159625,0.0169695,0.572987,0.0878296
96,0.0149554,0.0159625,0.551989,0.0896301
98,0.0139986,0.0159625,0.544989,0.0914612
100,0.0159625,0.0149554,0.531998,0.0932617
102,0.0149554,0.0159625,0.519963,0.0950928
104,0.0119844,0.0139986,0.506972,0.0968933
106,0.0129915,0.0139986,0.49398,0.0987244
108,0.0139986,0.0139986,0.481996,0.100525
110,0.0119844,0.0129915,0.468954,0.102356
112,0.0119844,0.0129915,0.458984,0.104156
114,0.0119844,0.0119844,0.444985,0.106415
116,0.0109773,0.0119844,0.43295,0.108246
118,0.0119844,0.0119844,0.42298,0.110077
120,0.0109773,0.0109773,0.412959,0.111877
122,0.00997024,0.00997024,0.402989,0.113678
